file,reason
src/components/contracts/ContractScannerDialog.tsx,no-barrel
src/components/vehicle-installments/VehicleInstallmentTest.tsx,no-barrel
src/hooks/useFleetVehicleInsurance.ts,no-barrel
src/components/finance/JournalVoucherDisplay.tsx,no-barrel
src/components/finance/VendorPaymentForm.tsx,no-barrel
src/components/finance/wizard/AccountsCustomization.tsx,no-barrel
src/components/customers/CustomerAgingReport.tsx,barrel-not-imported
src/services/tesseractOCR.ts,no-barrel
src/components/finance/ProfessionalInvoiceTemplate.tsx,barrel-not-imported
src/services/taqadi/TaqadiDataExtractor.ts,barrel-not-imported
src/components/contracts/ContractsStatistics.tsx,no-barrel
src/lib/query-client.ts,no-barrel
src/components/finance/advanced-reports/AdvancedFinancialAlerts.tsx,no-barrel
src/components/contracts/ContractPrintView.tsx,no-barrel
src/lib/monitoring/errorTracking.ts,no-barrel
src/types/enhanced/customer.types.ts,no-barrel
src/components/fleet/LinkedAssetInfo.tsx,no-barrel
src/pages/inventory/Warehouses.tsx,no-barrel
src/components/taqadi/TaqadiAutomationProgress.tsx,barrel-not-imported
src/components/ui/VisualTestWrapper.tsx,no-barrel
src/components/dashboard/bento/BentoDashboard.tsx,no-barrel
src/components/reports/NoDataMessage.tsx,barrel-not-imported
src/hooks/useStatisticalQueryClassifier.ts,no-barrel
src/components/vehicles/VehicleGallerySelector.tsx,barrel-not-imported
src/components/contracts/EnhancedContractValidation.tsx,no-barrel
src/components/ui/border-beam.tsx,no-barrel
src/services/dataValidationService.ts,no-barrel
src/hooks/useContextualMemory.ts,no-barrel
src/hooks/useResponsiveNavigation.ts,no-barrel
src/pages/ProfessionalInvoiceDemo.tsx,no-barrel
src/components/employee/EmployeeQuickStats.tsx,no-barrel
src/components/contracts/DocumentUploadDialog.tsx,no-barrel
src/components/fleet/EnhancedVehiclePricingPanel.tsx,no-barrel
src/components/exports/LazyExportDialog.tsx,no-barrel
src/hooks/useAISystemMonitor.ts,no-barrel
src/pages/settings/CustomerAccountSettings.tsx,no-barrel
src/components/navigation/SidebarFavorites.tsx,no-barrel
src/components/help/content/DriversPageHelp.tsx,no-barrel
src/components/finance/EnhancedDeleteAllAccountsDialog.tsx,no-barrel
